iter	Passed	Remaining
829	68744	345380
830	68814	345233
831	68890	345112
832	68968	345006
833	69039	344868
834	69119	344769
835	69193	344642
836	69294	344649
837	69375	344558
838	69449	344435
839	69513	344257
840	69589	344141
841	69665	344026
842	69739	343900
843	69818	343800
844	69892	343672
845	69968	343555
846	70047	343456
847	70118	343317
848	70199	343224
849	70272	343095
850	70378	343126
851	70450	342990
852	70525	342871
853	70588	342694
854	70666	342588
855	70738	342455
856	70818	342359
857	70890	342224
858	70967	342115
859	71043	341999
860	71139	341980
861	71233	341951
862	71336	341968
863	71460	342085
864	71558	342072
865	71666	342113
866	71758	342074
867	71834	341957
868	71907	341827
869	72007	341830
870	72082	341708
871	72161	341609
872	72239	341504
873	72317	341398
874	72418	341402
875	72506	341344
876	72578	341209
877	72662	341135
878	72738	341017
879	72817	340918
880	72894	340810
881	72979	340736
882	73063	340658
883	73147	340583
884	73225	340479
885	73308	340396
886	73386	340293
887	73493	340322
888	73613	340408
889	73684	340271
890	73752	340122
891	73825	339996
892	73897	339863
893	73980	339781
894	74063	339696
895	74145	339612
896	74232	339550
897	74311	339448
898	74382	339314
899	74465	339229
900	74575	339274
901	74648	339146
902	74735	339084
903	74817	338994
904	74899	338908
905	75006	338935
906	75080	338812
907	75149	338669
908	75226	338559
909	75302	338446
910	75386	338371
911	75459	338245
912	75536	338134
913	75654	338212
914	75740	338141
915	75821	338049
916	75900	337953
917	75995	337924
918	76080	337850
919	76156	337737
920	76230	337617
921	76309	337514
922	76396	337450
923	76479	337372
924	76559	337277
925	76671	337323
926	76748	337214
927	76836	337152
928	76920	337074
929	77005	337003
930	77090	336931
931	77178	336869
932	77252	336747
933	77332	336650
934	77421	336597
935	77480	336411
936	77548	336262
937	77623	336149
938	77725	336148
939	77808	336065
940	77913	336081
941	78025	336120
942	78134	336151
943	78231	336130
944	78311	336033
945	78402	335987
946	78488	335915
947	78563	335801
948	78638	335684
949	78712	335565
950	78829	335627
951	78911	335540
952	78991	335445
953	79069	335341
954	79150	335248
955	79227	335143
956	79310	335061
957	79387	334951
958	79467	334858
959	79556	334799
960	79635	334701
961	79713	334597
962	79830	334658
963	79917	334593
964	80031	334640
965	80127	334610
966	80215	334547
967	80304	334492
968	80400	334461
969	80483	334379
970	80564	334287
971	80662	334270
972	80751	334211
973	80840	334153
974	80992	334354
975	81073	334263
976	81166	334220
977	81244	334114
978	81363	334179
979	81478	334229
980	81580	334220
981	81667	334156
982	81795	334256
983	81873	334148
984	81952	334051
985	82067	334095
986	82142	333980
987	82219	333870
988	82295	333757
989	82372	333649
990	82453	333558
991	82540	333489
992	82617	333381
993	82688	333247
994	82753	333093
995	82819	332942
996	82897	332835
997	82975	332734
998	83085	332757
999	83166	332666
1000	83245	332567
1001	83330	332490
1002	83411	332399
1003	83489	332296
1004	83600	332322
1005	83683	332238
1006	83766	332155
1007	83848	332064
1008	83934	331992
1009	84017	331911
1010	84132	331951
1011	84207	331837
1012	84286	331739
1013	84363	331630
1014	84436	331508
1015	84514	331404
1016	84595	331312
1017	84677	331225
1018	84765	331157
1019	84857	331111
1020	84971	331147
1021	85061	331089
1022	85140	330990
1023	85263	331062
1024	85331	330920
1025	85404	330797
1026	85481	330687
1027	85568	330622
1028	85647	330521
1029	85721	330402
1030	85819	330377
1031	85897	330274
1032	85974	330167
1033	86052	330062
1034	86131	329963
1035	86235	329959
1036	86346	329982
1037	86439	329936
1038	86531	329887
1039	86633	329875
1040	86716	329790
1041	86793	329680
1042	86859	329531
1043	86932	329409
1044	87009	329303
1045	87086	329197
1046	87181	329157
1047	87301	329213
1048	87403	329199
1049	87484	329107
1050	87565	329015
1051	87645	328919
1052	87717	328796
1053	87809	328744
1054	87892	328658
1055	87965	328536
1056	88044	328437
1057	88127	328355
1058	88192	328203
1059	88272	328106
1060	88400	328189
1061	88477	328083
1062	88548	327956
1063	88610	327793
1064	88687	327684
1065	88777	327629
1066	88867	327567
1067	88940	327446
1068	89015	327333
1069	89098	327248
1070	89175	327143
1071	89252	327037
1072	89322	326903
1073	89452	326993
1074	89552	326971
1075	89629	326863
1076	89711	326776
1077	89826	326809
1078	89904	326705
1079	89979	326593
1080	90081	326578
1081	90163	326489
1082	90234	326360
1083	90312	326259
1084	90389	326152
1085	90504	326184
1086	90594	326124
1087	90671	326018
1088	90754	325934
1089	90839	325857
1090	90925	325780
1091	91006	325690
1092	91079	325570
1093	91155	325458
1094	91222	325320
1095	91294	325194
1096	91376	325105
1097	91509	325202
1098	91644	325300
1099	91726	325210
1100	91797	325086
1101	91875	324981
1102	91957	324895
1103	92047	324833
1104	92130	324751
1105	92195	324600
1106	92281	324525
1107	92363	324439
1108	92444	324348
1109	92526	324257
1110	92681	324426
1111	92762	324336
1112	92839	324228
1113	92920	324138
1114	92999	324040
1115	93096	324003
1116	93171	323891
1117	93246	323776
1118	93320	323662
1119	93400	323566
1120	93492	323510
1121	93563	323386
1122	93641	323284
1123	93758	323316
1124	93840	323229
1125	93910	323099
1126	93973	322946
1127	94051	322843
1128	94131	322747
1129	94209	322645
1130	94291	322557
1131	94362	322431
1132	94441	322335
1133	94541	322308
1134	94616	322197
1135	94720	322184
1136	94871	322328
1137	94963	322275
1138	95056	322223
1139	95148	322167
1140	95227	322070
1141	95312	321992
1142	95385	321872
1143	95469	321792
1144	95541	321671
1145	95626	321593
1146	95700	321476
1147	95778	321374
1148	95892	321392
1149	95977	321316
1150	96047	321186
1151	96134	321114
1152	96192	320947
1153	96264	320824
1154	96342	320723
1155	96442	320695
1156	96519	320591
1157	96594	320479
1158	96672	320379
1159	96762	320316
1160	96849	320245
1161	96967	320275
1162	97069	320253
1163	97150	320163
1164	97231	320071
1165	97307	319964
1166	97388	319871
1167	97475	319798
1168	97552	319693
1169	97633	319605
1170	97711	319502
1171	97786	319389
1172	97858	319270
1173	97942	319187
1174	98078	319278
1175	98165	319204
1176	98256	319144
1177	98369	319157
1178	98443	319044
1179	98527	318962
1180	98606	318862
1181	98699	318811
1182	98776	318707
1183	98845	318577
1184	98926	318486
1185	99005	318386
1186	99119	318401
1187	99191	318282
1188	99273	318193
1189	99350	318088
1190	99432	317998
1191	99508	317892
1192	99588	317798
1193	99667	317699
1194	99736	317572
1195	99811	317462
1196	99880	317330
1197	99954	317218
1198	100030	317111
1199	100140	317111
1200	100260	317145
1201	100342	317055
1202	100422	316962
1203	100501	316863
1204	100575	316750
1205	100656	316660
1206	100729	316542
1207	100809	316446
1208	100892	316362
1209	100981	316297
1210	101075	316247
1211	101163	316177
1212	101286	316217
1213	101377	316156
1214	101467	316095
1215	101587	316123
1216	101680	316068
1217	101774	316017
1218	101852	315918
